City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Robertsport,LR,77.32,light rain,6.7533,-11.3686,Kwepunha Retreat
239,San Rafael Del Sur,NI,77.97,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
240,Cayhagan,PH,83.23,overcast clouds,9.6697,122.4256,Melrose Beach Resort
241,Petropavlovsk-Kamchatskiy,RU,79.39,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
242,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
243,Minbu,MM,83.03,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
249,Jambi,ID,85.21,scattered clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
256,Kokopo,PG,85.98,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
258,Hasaki,JP,90.28,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
260,Isangel,VU,84.31,light rain,-19.55,169.2667,Tanna Lodge
262,Klang,MY,85.55,few clouds,3.0333,101.45,OYO 90249 Euro Hotel (klang)
263,Naze,JP,86.92,scattered clouds,28.3667,129.4833,Shishime Hotel
264,Margherita,IN,85.93,scattered clouds,27.2833,95.6833,Dehing Guest House
266,Shahr-E Babak,IR,81.91,broken clouds,30.1165,55.1186,سلاطین مس و نقره
268,Yarkovo,RU,74.73,few clouds,57.4028,67.0786,"Kfkh ""Ivanov S. M."""
269,Ratnagiri,IN,79.36,heavy intensity rain,16.9833,73.3,Hotel Landmark
272,Bosaso,SO,85.21,overcast clouds,11.2842,49.1816,Red Sea Hotel
273,Mahibadhoo,MV,81.91,moderate rain,3.7833,72.9667,Omadhoo Inn
277,Tual,ID,80.13,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
278,Gat,IL,75.88,few clouds,31.61,34.7642,OlusHome
282,Tuensang,IN,79.61,scattered clouds,26.2833,94.8333,B.W.D Resthouse.
285,Nauta,PE,71.62,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
286,Gazanjyk,TM,83.08,clear sky,39.2446,55.5154,Railway motel
