City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Novo Aripuana,BR,-5.1206,-60.3797,79.52,65,54,0.63,broken clouds
118,Xining,CN,36.6167,101.7667,69.93,70,77,3.85,broken clouds
119,Vokhtoga,RU,58.8147,41.0461,62.62,96,23,6.49,few clouds
120,Cayenne,GF,4.9333,-52.3333,75.09,1,100,1.14,overcast clouds
121,College,US,64.8569,-147.8028,74.07,79,75,5.75,thunderstorm
122,Vao,NC,-22.6667,167.4833,75.72,86,74,21.97,heavy intensity rain
123,New Norfolk,AU,-42.7826,147.0587,54.91,71,86,3.0,overcast clouds
124,Barinas,VE,8.6226,-70.2075,77.04,88,92,8.05,overcast clouds
125,San Carlos De Bariloche,AR,-41.1456,-71.3082,36.25,93,75,2.3,broken clouds
126,Lorengau,PG,-2.0226,147.2712,85.28,63,90,9.31,overcast clouds
127,Krivosheino,RU,57.3431,83.9261,65.59,62,3,9.78,clear sky
128,Bethel,US,41.3712,-73.414,70.16,73,0,3.44,clear sky
129,Jacareacanga,BR,-6.2222,-57.7528,79.92,57,95,1.25,overcast clouds
130,Kieta,PG,-6.2167,155.6333,83.07,76,100,7.96,light rain
131,Saskylakh,RU,71.9167,114.0833,43.83,92,100,15.46,moderate rain
132,Apatou,GF,5.155,-54.3472,73.24,99,100,2.19,overcast clouds
133,Lebu,CL,-37.6167,-73.65,45.34,87,27,7.87,scattered clouds
134,Namibe,AO,-15.1961,12.1522,63.45,85,1,2.89,clear sky
135,Mwinilunga,ZM,-11.7358,24.4293,52.21,64,3,3.51,clear sky
136,Vostok,RU,46.4856,135.8833,72.01,80,100,3.06,overcast clouds
137,Akyab,MM,20.15,92.9,79.45,90,100,13.31,overcast clouds
138,Dauriya,RU,49.9333,116.8667,69.76,44,27,13.33,scattered clouds
139,Mandalgovi,MN,45.7625,106.2708,70.7,44,99,13.42,overcast clouds
140,Alice Springs,AU,-23.7,133.8833,56.75,28,0,3.44,clear sky
141,Lavrentiya,RU,65.5833,-171.0,51.75,77,100,2.98,overcast clouds
142,Port-Gentil,GA,-0.7193,8.7815,71.51,78,97,9.51,overcast clouds
143,Tuatapere,NZ,-46.1333,167.6833,42.12,64,100,4.68,overcast clouds
144,Margate,GB,51.3813,1.3862,65.7,78,46,6.08,scattered clouds
145,Yellowknife,CA,62.456,-114.3525,70.32,60,75,2.3,broken clouds
146,Kruisfontein,ZA,-34.0033,24.7314,51.89,82,76,17.0,light rain
147,Takab,IR,36.4009,47.1133,70.07,30,0,7.43,clear sky
148,Carmelo,UY,-33.9892,-58.2856,56.91,90,100,13.98,overcast clouds
149,Vryburg,ZA,-26.9566,24.7284,42.17,70,0,7.0,clear sky
150,Blagoyevo,RU,63.3667,47.9167,66.52,66,72,4.21,broken clouds
151,Dingle,PH,10.9995,122.6711,82.42,80,100,11.05,light rain
152,Dubbo,AU,-32.25,148.6167,59.13,58,74,9.22,broken clouds
153,Qingdao,CN,36.0986,120.3719,82.0,78,40,8.95,scattered clouds
154,Hermanus,ZA,-34.4187,19.2345,52.92,81,15,10.36,few clouds
155,Uaua,BR,-9.8414,-39.4817,65.37,91,85,11.56,overcast clouds
156,Ust-Nera,RU,64.5667,143.2,84.07,44,61,6.98,broken clouds
157,Anse-Bertrand,GP,16.4721,-61.5078,78.94,100,70,18.5,broken clouds
158,Lata,PT,40.1629,-8.3327,63.07,79,0,2.57,clear sky
159,Tambura,SS,5.6,27.4667,67.91,96,100,3.18,overcast clouds
160,Berlevag,NO,70.8578,29.0864,53.6,93,75,13.8,broken clouds
161,Toora-Khem,RU,52.4675,96.11,67.08,46,6,0.65,clear sky
162,Sola,VU,-13.8833,167.55,81.34,71,3,8.37,clear sky
163,Dongsheng,CN,39.8161,109.9776,66.38,66,100,3.0,moderate rain
164,Hobyo,SO,5.3505,48.5268,76.05,78,72,22.32,broken clouds
165,Atar,MR,20.5169,-13.0499,92.48,27,0,6.73,clear sky
166,Myingyan,MM,21.4667,95.3833,85.93,60,77,10.49,broken clouds
167,Carutapera,BR,-1.195,-46.02,74.68,92,80,5.53,broken clouds
168,Khudumelapye,BW,-23.8833,24.75,49.73,53,4,6.53,clear sky
169,Krasnoselkup,RU,65.7,82.4667,60.44,53,67,8.55,broken clouds
170,Kudahuvadhoo,MV,2.6708,72.8944,81.81,75,100,7.11,overcast clouds
171,Podyuga,RU,61.095,40.8647,61.95,94,81,4.65,broken clouds
172,Mount Isa,AU,-20.7333,139.5,62.37,27,0,10.36,clear sky
173,Port Hedland,AU,-20.3167,118.5667,75.25,20,2,12.66,clear sky
174,Hengelo,NL,52.2658,6.7931,61.95,86,100,4.0,overcast clouds
175,Krasnotorka,UA,48.682,37.5327,66.72,83,100,3.38,light rain
176,Hukuntsi,BW,-24.0,21.75,46.36,46,0,7.47,clear sky
177,Pevek,RU,69.7008,170.3133,36.0,77,100,3.56,overcast clouds
178,Marawi,PH,7.9986,124.2928,79.5,69,28,5.75,scattered clouds
179,Lagoa,PT,39.05,-27.9833,65.91,81,74,5.32,broken clouds
180,Khlung,TH,12.4547,102.2214,84.52,100,100,6.85,overcast clouds
181,Ahipara,NZ,-35.1667,173.1667,59.29,97,100,8.21,light rain
182,Sosnovka,RU,56.255,51.2842,66.96,87,9,2.46,clear sky
183,Grindavik,IS,63.8424,-22.4338,51.75,100,100,10.36,light intensity drizzle
184,Nyurba,RU,63.2842,118.3319,68.38,64,97,2.19,overcast clouds
185,Liverpool,GB,53.4106,-2.9779,58.28,93,3,4.61,fog
186,Okha,RU,53.5739,142.9478,70.92,77,100,12.68,overcast clouds
187,Nemuro,JP,43.3236,145.575,60.46,98,100,13.76,overcast clouds
188,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,83,39,4.65,scattered clouds
189,Santa Cruz,BO,-17.8,-63.1667,76.46,78,100,17.27,overcast clouds
190,Alofi,NU,-19.0595,-169.9187,78.69,73,78,17.27,broken clouds
191,Illela,NG,13.7292,5.2975,82.04,64,17,11.56,few clouds
192,Vila Velha,BR,-20.3297,-40.2925,67.95,95,75,2.3,broken clouds
193,Verkhnyaya Inta,RU,65.9811,60.3094,63.63,59,4,4.97,clear sky
194,Raudeberg,NO,61.9875,5.1352,52.47,78,100,14.05,overcast clouds
195,Calvinia,ZA,-31.4707,19.776,44.89,90,98,6.64,overcast clouds
196,Erenhot,CN,43.6475,111.9767,84.94,23,5,17.47,clear sky
